"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"27.12.2024","120.269,00","121.078,00","121.609,00","120.252,00","8,94M","-0,67%"
"26.12.2024","121.078,00","120.767,00","121.612,00","120.428,00","8,34M","0,26%"
"23.12.2024","120.767,00","122.105,00","122.105,00","120.617,00","9,95M","-1,09%"
"20.12.2024","122.102,00","121.183,00","122.209,00","120.700,00","18,13M","0,75%"
"19.12.2024","121.188,00","120.768,00","121.770,00","120.768,00","13,68M","0,34%"
"18.12.2024","120.772,00","124.699,00","124.699,00","120.457,00","19,74M","-3,15%"
"17.12.2024","124.698,00","123.560,00","125.301,00","123.560,00","17,56M","0,92%"
"16.12.2024","123.560,00","124.610,00","124.956,00","123.495,00","11,07M","-0,84%"
"13.12.2024","124.612,00","126.102,00","126.290,00","124.578,00","11,76M","-1,13%"
"12.12.2024","126.042,00","129.587,00","129.587,00","125.829,00","13,45M","-2,74%"
"11.12.2024","129.593,00","128.228,00","130.899,00","127.362,00","13,17M","1,06%"
"10.12.2024","128.228,00","127.213,00","128.511,00","127.213,00","9,14M","0,80%"
"09.12.2024","127.210,00","125.946,00","127.542,00","125.946,00","9,37M","1,00%"
"06.12.2024","125.946,00","127.856,00","127.872,00","125.833,00","11,22M","-1,50%"
"05.12.2024","127.858,00","126.088,00","127.989,00","126.087,00","9,53M","1,40%"
"04.12.2024","126.087,00","126.139,00","126.720,00","125.828,00","9,39M","-0,04%"
"03.12.2024","126.139,00","125.235,00","126.417,00","125.233,00","9,99M","0,72%"
"02.12.2024","125.236,00","125.668,00","125.901,00","124.734,00","11,52M","-0,34%"
"29.11.2024","125.668,00","124.611,00","126.056,00","123.946,00","16,40M","0,85%"
"28.11.2024","124.610,00","127.667,00","127.668,00","124.390,00","12,83M","-2,40%"
"27.11.2024","127.669,00","129.923,00","130.283,00","127.669,00","12,32M","-1,73%"
"26.11.2024","129.922,00","129.043,00","130.361,00","129.042,00","9,75M","0,69%"
"25.11.2024","129.036,00","129.125,00","129.495,00","128.932,00","14,41M","-0,07%"
"22.11.2024","129.126,00","126.944,00","129.126,00","126.944,00","9,19M","1,74%"
"21.11.2024","126.922,00","128.197,00","128.197,00","126.594,00","10,27M","-0,99%"
"19.11.2024","128.197,00","127.768,00","128.579,00","127.235,00","9,10M","0,34%"
"18.11.2024","127.768,00","127.791,00","128.277,00","127.226,00","10,74M","-0,02%"
"14.11.2024","127.792,00","127.734,00","128.423,00","127.389,00","13,14M","0,05%"
"13.11.2024","127.734,00","127.698,00","128.100,00","126.869,00","12,69M","0,03%"
"12.11.2024","127.698,00","127.873,00","128.210,00","127.411,00","9,52M","-0,14%"
"11.11.2024","127.874,00","127.829,00","128.095,00","127.306,00","8,40M","0,03%"
