"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2024","2.483,12","2.479,86","2.495,05","2.468,59","89,09M","-0,28%"
"27.12.2024","2.490,19","2.476,41","2.493,81","2.471,08","86,13M","0,82%"
"23.12.2024","2.469,87","2.467,47","2.476,91","2.457,27","111,04M","-0,19%"
"20.12.2024","2.474,65","2.462,81","2.475,94","2.435,66","190,66M","-0,26%"
"19.12.2024","2.481,10","2.501,58","2.512,05","2.474,27","150,97M","-2,23%"
"18.12.2024","2.537,63","2.536,42","2.549,73","2.530,17","167,82M","0,18%"
"17.12.2024","2.533,07","2.534,77","2.545,27","2.529,57","87,33M","-0,45%"
"16.12.2024","2.544,60","2.553,24","2.556,74","2.539,11","87,18M","-0,46%"
"13.12.2024","2.556,34","2.570,67","2.580,26","2.551,83","108,52M","-0,69%"
"12.12.2024","2.573,98","2.594,65","2.600,16","2.569,56","137,73M","-0,56%"
"11.12.2024","2.588,44","2.589,18","2.599,41","2.584,32","106,58M","-0,27%"
"10.12.2024","2.595,49","2.612,85","2.614,07","2.595,49","96,83M","-0,85%"
"09.12.2024","2.617,80","2.631,26","2.633,57","2.613,07","103,69M","0,14%"
"06.12.2024","2.614,27","2.603,09","2.617,66","2.600,84","76,35M","0,31%"
"05.12.2024","2.606,08","2.593,80","2.607,17","2.592,69","109,92M","0,45%"
"04.12.2024","2.594,38","2.585,77","2.601,22","2.582,57","106,96M","0,80%"
"03.12.2024","2.573,70","2.555,42","2.582,68","2.554,63","91,62M","1,00%"
"02.12.2024","2.548,13","2.503,02","2.563,09","2.500,86","96,00M","1,36%"
"29.11.2024","2.513,85","2.505,36","2.516,41","2.495,09","148,71M","0,20%"
"28.11.2024","2.508,92","2.508,17","2.522,88","2.505,76","65,97M","0,45%"
"27.11.2024","2.497,68","2.491,53","2.501,68","2.483,93","109,59M","0,08%"
"26.11.2024","2.495,80","2.495,60","2.505,21","2.487,64","82,55M","-0,66%"
"25.11.2024","2.512,45","2.527,98","2.531,46","2.505,55","162,17M","-0,07%"
"22.11.2024","2.514,10","2.506,81","2.520,03","2.486,33","99,71M","0,71%"
"21.11.2024","2.496,31","2.484,80","2.498,49","2.464,14","92,66M","0,48%"
"20.11.2024","2.484,49","2.508,29","2.513,74","2.483,49","101,23M","-0,36%"
"19.11.2024","2.493,48","2.515,21","2.518,15","2.462,17","110,86M","-0,54%"
"18.11.2024","2.506,91","2.509,39","2.518,88","2.489,89","92,39M","-0,12%"
"15.11.2024","2.509,99","2.513,49","2.530,64","2.506,38","128,01M","-0,85%"
"14.11.2024","2.531,39","2.519,58","2.535,77","2.507,07","85,45M","0,75%"
"13.11.2024","2.512,56","2.512,19","2.520,59","2.493,72","88,96M","-0,07%"
"12.11.2024","2.514,23","2.556,15","2.558,60","2.508,64","111,20M","-2,41%"
"11.11.2024","2.576,43","2.574,54","2.584,28","2.571,95","99,63M","0,69%"
"08.11.2024","2.558,74","2.583,18","2.584,15","2.546,84","111,52M","-1,01%"
"07.11.2024","2.584,72","2.559,90","2.593,98","2.558,65","153,25M","1,24%"
"06.11.2024","2.553,13","2.590,90","2.626,57","2.552,95","150,05M","-0,82%"
"05.11.2024","2.574,13","2.571,96","2.576,70","2.555,80","100,66M","0,08%"
"04.11.2024","2.571,98","2.564,42","2.582,00","2.564,42","217,18M","0,58%"
"01.11.2024","2.557,22","2.546,14","2.564,75","2.546,14","43,53M","0,58%"
"31.10.2024","2.542,41","2.556,57","2.562,60","2.535,33","105,03M","-1,40%"
"30.10.2024","2.578,38","2.604,59","2.608,27","2.571,21","81,32M","-1,24%"
"29.10.2024","2.610,76","2.632,11","2.639,52","2.610,76","88,51M","-0,51%"
"28.10.2024","2.624,08","2.601,84","2.627,70","2.595,83","92,95M","1,23%"
"25.10.2024","2.592,28","2.575,85","2.601,57","2.574,80","103,23M","0,55%"
"24.10.2024","2.578,09","2.578,89","2.600,14","2.576,57","104,98M","-0,13%"
"23.10.2024","2.581,33","2.573,32","2.588,52","2.565,16","126,29M","0,38%"
