"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","10.414,61","10.668,17","10.678,77","10.414,61","20,11B","-2,40%"
"30.12.2024","10.671,16","10.644,15","10.726,66","10.632,74","17,42B","0,10%"
"27.12.2024","10.659,98","10.679,34","10.780,53","10.632,53","19,86B","-0,13%"
"26.12.2024","10.673,97","10.586,96","10.692,89","10.570,09","16,87B","0,67%"
"25.12.2024","10.603,10","10.675,73","10.677,65","10.544,88","18,35B","-0,64%"
"24.12.2024","10.671,43","10.548,15","10.673,34","10.548,15","18,95B","1,27%"
"23.12.2024","10.537,40","10.650,58","10.708,82","10.527,15","21,64B","-1,03%"
"20.12.2024","10.646,62","10.631,44","10.731,08","10.618,79","20,59B","-0,02%"
"19.12.2024","10.649,03","10.483,50","10.673,96","10.460,20","21,25B","0,61%"
"18.12.2024","10.584,27","10.561,94","10.639,77","10.535,76","19,64B","0,44%"
"17.12.2024","10.537,43","10.557,23","10.677,74","10.526,26","20,90B","-0,35%"
"16.12.2024","10.573,92","10.705,52","10.721,71","10.535,53","22,40B","-1,30%"
"13.12.2024","10.713,07","10.876,19","10.876,19","10.709,14","28,86B","-2,23%"
"12.12.2024","10.957,13","10.846,54","10.967,28","10.813,79","24,97B","1,00%"
"11.12.2024","10.848,42","10.781,10","10.884,06","10.781,08","25,57B","0,33%"
"10.12.2024","10.812,58","11.124,78","11.134,55","10.792,01","34,29B","0,75%"
"09.12.2024","10.731,66","10.780,98","10.821,51","10.668,33","25,28B","-0,55%"
"06.12.2024","10.791,34","10.642,89","10.860,25","10.618,76","27,53B","1,47%"
"05.12.2024","10.634,49","10.565,03","10.674,77","10.565,03","21,02B","0,29%"
"04.12.2024","10.604,01","10.700,06","10.717,56","10.556,60","23,71B","-1,02%"
"03.12.2024","10.713,58","10.757,49","10.761,44","10.625,48","22,29B","-0,40%"
"02.12.2024","10.756,55","10.595,47","10.777,69","10.583,72","24,32B","1,36%"
"29.11.2024","10.611,72","10.406,08","10.727,08","10.406,08","23,30B","1,72%"
"28.11.2024","10.432,54","10.560,41","10.581,59","10.416,33","21,81B","-1,26%"
"27.11.2024","10.566,10","10.284,72","10.566,10","10.202,23","22,45B","2,25%"
"26.11.2024","10.333,23","10.387,00","10.480,96","10.330,45","19,02B","-0,84%"
"25.11.2024","10.420,52","10.462,44","10.505,24","10.282,50","23,01B","-0,17%"
"22.11.2024","10.438,72","10.785,52","10.836,69","10.438,72","27,41B","-3,52%"
"21.11.2024","10.819,88","10.787,93","10.867,41","10.739,28","24,32B","-0,07%"
"20.11.2024","10.827,19","10.709,92","10.875,45","10.692,56","24,56B","0,78%"
"19.11.2024","10.743,84","10.559,33","10.748,60","10.427,94","24,97B","1,90%"
